cluster_id,n_GO_annotated_proteins,Biological_Process,Cellular_Component,Molecular_Function,Gene_Descriptions
scaffold134_win1,1,,proteinaceous extracellular matrix,metalloendopeptidase inhibitor activity,"Rieske [2Fe-2S] iron-sulphur domain; Pheophorbide a oxygenase; Major facilitator superfamily; Major facilitator superfamily domain; GRIP; Proteinase inhibitor I35, tissue inhibitor of metalloproteinase; Tissue inhibitor of metalloproteinases-like, OB-fold"
scaffold141_win1,4,peroxisome organization and biogenesis; regulation of transcription; transcription,peroxisomal membrane,zinc ion binding; transcription regulator activity; nucleic acid binding,"Pex, N-terminal; Zinc finger, RING-type, conserved site; Zinc finger, RING-type; Zinc finger, TFIIS-type; DNA-directed RNA polymerase, subunit C11/M/9; Regulator of chromosome condensation, RCC1; Regulator of chromosome condensation (RCC1) repeat; Regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II; Tetratricopeptide repeat; Tetratricopeptide repeat-containing domain; NB-ARC; Tetratricopeptide repeat; Tetratricopeptide repeat-containing domain; EF-hand domain pair; EF-Hand 1, calcium-binding site; EF-hand domain; Tetratricopeptide TPR1; Tetratricopeptide repeat; Tetratricopeptide repeat-containing domain"
scaffold141_win2,4,proline biosynthetic process; transport; translational elongation,integral to membrane; membrane; intracellular,pyrroline-5-carboxylate reductase activity; oxidoreductase activity; transporter activity,"Major facilitator superfamily domain; General substrate transporter; Sugar transporter, conserved site; Major facilitator superfamily domain; Ankyrin repeat; Ankyrin repeat-containing domain; Pyrroline-5-carboxylate reductase, catalytic, N-terminal; Pyrroline-5-carboxylate reductase, dimerisation domain; Pyrroline-5-carboxylate reductase; Elongation factor, GTP-binding domain; Translation elongation factor EFG, V domain; Translation elongation factor EFTu/EF1A, domain 2"
scaffold145_win1-5,11,protein amino acid phosphorylation; small GTPase mediated signal transduction,,ATP binding; protein-tyrosine kinase activity; protein kinase activity,"Polysaccharide pyruvyl transferase; Leucine-rich repeat; Small GTPase superfamily; ROC GTPase; P-loop containing nucleoside triphosphate hydrolase; Serine-threonine/tyrosine-protein kinase catalytic domain; Protein kinase, ATP binding site; Protein kinase domain; Polymorphic outer membrane protein repeat; Serine-threonine/tyrosine-protein kinase catalytic domain; Protein kinase domain; Tyrosine-protein kinase, catalytic domain; Pectin lyase fold/virulence factor; Polymorphic outer membrane protein repeat; PC-Esterase; Small GTPase superfamily; Leucine-rich repeat; Leucine rich repeat 4"
scaffold146_win1-3,6,biosynthetic process,membrane,"hydroxymethyl-, formyl- and related transferase activity; N-acetyltransferase activity","Crotonase superfamily; Formyl transferase, N-terminal; Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain; Exostosin-like; Pectin lyase fold/virulence factor; Prokaryotic membrane lipoprotein lipid attachment site profile.; Pectin lyase fold/virulence factor; Sulfotransferase; GNAT domain; Acyl-CoA N-acyltransferase; Fibrinogen binding protein"
scaffold149_win1-2,1,,integral to membrane,,Mpv17/PMP22
scaffold155_win1,1,,,zinc ion binding; nucleic acid binding,"Vacuolar protein sorting-associated protein 35, Vps35; Zinc finger, double-stranded RNA binding; Zinc finger, U1-type; Tumour suppressor, Mitostatin; Glycosyltransferase AER61, uncharacterised; DOMON domain"
scaffold155_win2-4,6,neuropeptide signaling pathway; carbohydrate metabolic process; regulation of Rab GTPase activity,membrane; intracellular,sugar binding; glutamine-fructose-6-phosphate transaminase (isomerizing) activity; Rab GTPase activator activity,"Sulfotransferase; Sugar isomerase (SIS); Glutamine amidotransferase domain; Glutamine amidotransferase type 2 domain; Carbohydrate-binding WSC; Carbohydrate-binding WSC, subgroup; Rab-GTPase-TBC domain; Glycosyltransferase AER61, uncharacterised; PKD/REJ-like protein; Lactonase, 7-bladed beta propeller; GPS motif; PKD/REJ-like protein; Soluble quinoprotein glucose/sorbosone dehydrogenase; FAD-binding 8; Riboflavin synthase-like beta-barrel; Domain of unknown function DUF221; Late exocytosis, associated with Golgi transport; Domain of unknown function DUF4463"
scaffold166_1-2,6,electron transport; carbohydrate metabolic process; nitrate assimilation,proteasome core complex,oxidoreductase activity; nucleic acid binding; quinone binding,"Ribonuclease H-like domain; Carbohydrate-binding WSC; Glucose/Sorbosone dehydrogenase; Carbohydrate-binding WSC, subgroup; Oxidoreductase, N-terminal; Oxidoreductase, C-terminal; Protein of unknown function DUF3007; Ankyrin repeat-containing domain; Pyridine nucleotide-disulphide oxidoreductase, NAD-binding domain; Nitrite/sulphite reductase 4Fe-4S domain; Nitrite/Sulfite reductase ferredoxin-like domain; Histidine phosphatase superfamily, clade-2; Histidine phosphatase superfamily; Proteasome, subunit alpha/beta; Proteasome B-type subunit; Nucleophile aminohydrolases, N-terminal"
scaffold177_2,0,,,,JmjC domain; Major facilitator superfamily; Major facilitator superfamily domain; Major facilitator superfamily domain
scaffold181_1-3,7,"nucleobase, nucleoside, nucleotide and nucleic acid metabolic process; biosynthetic process; ATP synthesis coupled proton transport",proton-transporting two-sector ATPase complex; membrane; integral to membrane,"ATP binding; hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides; ATP-dependent helicase activity","ATP-dependent helicase, C-terminal; Cytidyltransferase-like domain; Oligosaccharyl transferase complex, subunit OST3/OST6; Thioredoxin-like fold; V-ATPase proteolipid subunit C-like domain; V-ATPase proteolipid subunit C, eukaryotic; C2 domain; WW domain; IQ motif, EF-hand binding site; DNA topoisomerase, type IIA, subunit A/C-terminal; DNA gyrase/topoisomerase IV, subunit A, C-terminal beta-pinwheel; DNA topoisomerase, type IIA-like domain; Pseudouridine synthase, RsuA/RluB/C/D/E/F; RNA-binding S4 domain; Pseudouridine synthase, RsuA/RluB/E/F, conserved site; Ribosomal protein S5 domain 2-type fold; Zinc finger, RanBP2-type"
scaffold187_2,2,,,T/G mismatch-specific endonuclease activity; phosphoric ester hydrolase activity; nuclease activity,"PIN domain-like; Major facilitator superfamily domain; Aminotransferase, class IV; P-loop containing nucleoside triphosphate hydrolase"
scaffold189_2,1,photosynthesis; electron transport,integral to membrane; thylakoid; photosystem I,,"Photosystem I PsaA/PsaB; Photosystem I PsaA/PsaB, conserved site; Uncharacterised protein family Ycf54; Glycosyl transferase family 2"
scaffold190_1,0,,,,Polymorphic outer membrane protein repeat
scaffold195_2,0,,,,No InterPro/domain descriptions for proteins in block
scaffold215_1-2,6,RNA processing; rRNA processing,small subunit processome,oxidoreductase activity; protein kinase CK2 activity; ribonuclease III activity,"FNIP; Uncharacterised domain, di-copper centre; Tyrosinase copper-binding domain; Uncharacterised domain, di-copper centre; Ribonuclease III domain; Sas10/Utp3/C1D; Helicase, C-terminal; P-loop containing nucleoside triphosphate hydrolase"
scaffold217_1-2,8,pseudouridine synthesis,membrane,protein kinase CK2 activity; ATP binding; nucleoside-triphosphatase activity,"FNIP; Phosphatidic acid phosphatase type 2/haloperoxidase; ATPase, AAA-type, core; CDC48, N-terminal subdomain; CDC48, domain 2; Pseudouridine synthase, RsuA/RluB/C/D/E/F; Pseudouridine synthase, catalytic domain"
scaffold221_2,7,oligosaccharide metabolic process; aromatic compound metabolic process; electron transport,nucleus; intracellular; cyclic-nucleotide phosphodiesterase complex,mannosyl-oligosaccharide glucosidase activity; monooxygenase activity; zeaxanthin epoxidase activity,"Complex 1 LYR protein; Glycoside hydrolase, family 63; Six-hairpin glycosidase-like; SET domain; Monooxygenase, FAD-binding; Kinetochore protein Ndc80; G-patch domain; Tyrosyl-DNA phosphodiesterase I; Ankyrin repeat-containing domain; Ankyrin repeat; Kinesin motor domain; Kinesin motor domain, conserved site; P-loop containing nucleoside triphosphate hydrolase; PAS domain"
scaffold226_1-2,5,protein amino acid phosphorylation; carbohydrate metabolic process,viral capsid; endoplasmic reticulum; membrane,ATP binding; protein kinase activity; protein serine/threonine kinase activity,"Chitin-binding, domain 3; Protein kinase domain; Serine/threonine/dual specificity protein kinase, catalytic  domain; Protein kinase-like domain; Thioredoxin domain; Thioredoxin-like domain; Thioredoxin, conserved site; Thioredoxin domain; Thioredoxin, conserved site; Thioredoxin-like fold; Uncharacterised protein family Ycf19; Carbohydrate-binding WSC; Glucose/Sorbosone dehydrogenase; Carbohydrate-binding WSC, subgroup; Ribosomal protein S24/S35, mitochondrial, conserved domain"
scaffold238_1,0,,,,Pectin lyase fold/virulence factor; Polymorphic outer membrane protein repeat; Polymorphic outer membrane protein repeat; Tetratricopeptide repeat; Tetratricopeptide repeat-containing domain; Ankyrin repeat-containing domain
scaffold240_1,5,,,ATP binding; methyltransferase activity; cysteine-type peptidase activity,"SNF2-related; Helicase superfamily 1/2, ATP-binding domain; P-loop containing nucleoside triphosphate hydrolase; JAB1/MPN/MOV34 metalloenzyme domain; Rpn11/EIF3F C-terminal domain; Helicase, C-terminal; P-loop containing nucleoside triphosphate hydrolase; Methyltransferase type 11; S-adenosyl-L-methionine-dependent methyltransferase; Helicase/SANT-associated, DNA binding; HAS subgroup; NMD3"
scaffold244_1,4,biosynthetic process,,diaminopimelate decarboxylase activity; GTP binding,"Glycosyl transferase, family 1; Impact, N-terminal; Uncharacterised domain UPF0029, Impact, C-terminal; Ribosomal protein S5 domain 2-type fold; Transport protein particle (TRAPP) component; NO signalling/Golgi transport  ligand-binding domain; Orn/DAP/Arg decarboxylase 2, C-terminal; Orn/DAP/Arg decarboxylase 2, N-terminal; Alanine racemase/group IV decarboxylase, C-terminal; Conserved oligomeric Golgi complex subunit 5; GTP binding domain; KH-domain-like of EngA bacterial GTPase enzymes, C-terminal; EngA-type guanine nucleotide-binding (G) domain profile.; PDZ domain"
scaffold248_1-2,10,phospholipid biosynthetic process; protein amino acid phosphorylation,membrane; integral to membrane,protein kinase CK2 activity; carbohydrate binding; zinc ion binding,"FNIP; Histidine phosphatase superfamily, clade-1; Phosphoglycerate/bisphosphoglycerate mutase, active site; Histidine phosphatase superfamily; Carbohydrate binding module family 6; Cellulose binding, type IV; Galactose-binding domain-like; Zinc finger, CCCH-type; Galactose-binding domain-like; ClpP/crotonase-like domain; Phosphatidic acid phosphatase type 2/haloperoxidase; CDP-alcohol phosphatidyltransferase; CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase; Serine-threonine/tyrosine-protein kinase catalytic domain; Protein kinase, ATP binding site; Protein kinase domain"
scaffold250_1,6,protein amino acid phosphorylation; cellular metabolic process,,ATP binding; protein-tyrosine kinase activity; protein kinase activity,"Serine-threonine/tyrosine-protein kinase catalytic domain; Protein kinase, ATP binding site; Serine/threonine-protein kinase, active site; Brix domain; Serine-threonine/tyrosine-protein kinase catalytic domain; Protein kinase, ATP binding site; Protein kinase domain; NAD-dependent epimerase/dehydratase, N-terminal domain; Zinc finger, MYND-type; ATPase, AAA-type, core; ATPase, AAA-type, conserved site; AAA+ ATPase domain; Pleckstrin homology domain"
scaffold255_1,2,protein import into mitochondrial inner membrane; protein targeting to mitochondrion; nucleotide biosynthetic process,mitochondrial intermembrane space protein transporter complex,ribose phosphate diphosphokinase activity; magnesium ion binding,"Tim10/DDP family zinc finger; Ribose-phosphate pyrophosphokinase, N-terminal domain; Ribose-phosphate diphosphokinase; Phosphoribosyltransferase-like"
scaffold271_2,0,,,,High-CO2 inducible periplasmic
scaffold274_1,2,,,calcium ion binding; adenosine kinase activity,"EF-Hand 1, calcium-binding site; EF-hand domain; Cytokinin riboside 5'-monophosphate phosphoribohydrolase LOG; NADH:ubiquinone oxidoreductase intermediate-associated protein 30; NADH(P)-binding; Galactose-binding domain-like; Carbohydrate kinase PfkB; Carbohydrate/puine kinase, PfkB, conserved site; Ribokinase-like; Potassium channel, inwardly rectifying, Kir; Mitochondrial substrate/solute carrier; Mitochondrial carrier domain; RWP-RK domain; Cyclic nucleotide-binding domain; RGS domain; Cyclic nucleotide-binding-like; Potassium channel, inwardly rectifying, Kir; Immunoglobulin E-set"
scaffold277_2,2,,,methyltransferase activity,Major facilitator superfamily; Major facilitator superfamily domain; Major facilitator superfamily domain; Methyltransferase type 11; S-adenosyl-L-methionine-dependent methyltransferase
scaffold281_1,2,leucine biosynthetic process; carboxylic acid metabolic process,,"2-isopropylmalate synthase activity; transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer; RNA polymerase activity","Pyruvate carboxyltransferase; 2-isopropylmalate synthase LeuA, allosteric (dimerisation) domain; Alpha-isopropylmalate/homocitrate synthase, conserved site; PWWP domain"
scaffold282_1-2,12,electron transport; signal transduction; diaminopimelate biosynthetic process,membrane; mitochondrial ribosome; nucleus,"oxidoreductase activity, acting on the CH-CH group of donors; two-component sensor activity; signal transducer activity","Signal transduction histidine kinase EnvZ-like, dimerisation/phosphoacceptor domain; Signal transduction histidine kinase, homodimeric domain; DapA-like; Schiff base-forming aldolase, conserved site; Schiff base-forming aldolase, active site; Acyl-CoA oxidase/dehydrogenase, central domain; Acyl-CoA dehydrogenase/oxidase, N-terminal; Acyl-CoA dehydrogenase, conserved site; HEAT repeats; PBS lyase HEAT-like repeat; Armadillo-type fold; Radial spokehead-like protein; Major facilitator superfamily domain; VPS9 domain; Ribosomal protein L47, mitochondrial; Polyprenyl synthetase; Isoprenoid synthase domain; Zinc finger, CHCC-type; Acyl-CoA dehydrogenase/oxidase C-terminal; Mitochondrial substrate/solute carrier; Mitochondrial carrier domain; Legume-like lectin; Concanavalin A-like lectin/glucanase domain; Protein kinase domain; Serine-threonine/tyrosine-protein kinase catalytic domain; Serine/threonine/dual specificity protein kinase, catalytic  domain; Poly(A) polymerase, RNA-binding domain; Poly(A) polymerase, central domain; Nucleotidyltransferase, class I, C-terminal-like; Flagellar-associated PapD-like; MSP domain; ChaC-like protein; F-box domain"
scaffold287_1,9,"regulation of transcription, DNA-dependent; ubiquitin-dependent protein catabolic process; regulation of transcription",intracellular; nucleus; membrane,zinc ion binding; nucleic acid binding; sequence-specific DNA binding,"Zinc finger, C2H2; Zinc finger, C2H2-like; Protein kinase-like domain; IQ motif, EF-hand binding site; Peptidase C12, ubiquitin carboxyl-terminal hydrolase; Plastid lipid-associated protein/fibrillin conserved domain; Homeobox KN domain; Homeobox domain; Homeodomain-like; Ketopantoate reductase, C-terminal domain; 6-phosphogluconate dehydrogenase, C-terminal-like; SET domain; Phosphatidate cytidylyltransferase; Annexin repeat; Heat shock factor (HSF)-type, DNA-binding"
scaffold291_1-2,7,"regulation of transcription, DNA-dependent; two-component signal transduction system (phosphorelay); signal transduction",membrane,two-component response regulator activity; two-component sensor activity; ATP binding,"Signal transduction response regulator, receiver domain; Signal transduction histidine kinase EnvZ-like, dimerisation/phosphoacceptor domain; Histidine kinase-like ATPase, C-terminal domain; SANT/Myb domain; Myb domain; Homeodomain-like; Ankyrin repeat; Ankyrin repeat-containing domain; DNA primase, UL52/UL70 type, Herpesviridae; Glycoside hydrolase, family 17; Glycoside hydrolase superfamily; Fungal lipase-like domain; Alpha/Beta hydrolase fold; PD-(D/E)XK nuclease superfamily; Lipase/lipooxygenase, PLAT/LH2; Dynamin family; Dynamin central domain; Dynamin GTPase effector; Concanavalin A-like lectin/glucanases superfamily; Concanavalin A-like lectin/glucanase domain; Alpha/Beta hydrolase fold; Protein of unknown function DUF3303"
scaffold319_1,0,,,,No InterPro/domain descriptions for proteins in block
scaffold336_1,13,"protein amino acid phosphorylation; regulation of transcription, DNA-dependent; RNA processing",intracellular; cytoplasm; phenylalanine-tRNA ligase complex,ATP binding; protein kinase activity; transcription factor activity,"Ciliary BBSome complex subunit 1; Protein kinase domain; Integrin-linked protein kinase; Serine/threonine-protein kinase, active site; Beta-ketoacyl synthase, N-terminal; Beta-ketoacyl synthase, C-terminal; 3-oxoacyl-[acyl-carrier-protein] synthase 2; HAT (Half-A-TPR) repeat; Tetratricopeptide repeat-containing domain; Phenylalanyl-tRNA synthetase; Aminoacyl-tRNA synthetase, class II; Phenylalanyl-tRNA synthetase, class IIc, alpha subunit; RNA polymerase sigma-70 region 2; RNA polymerase sigma-70 region 4; RNA polymerase sigma factor, region 3/4; Ciliary BBSome complex subunit 1; WD40-repeat-containing domain; Armadillo-type fold; Enhancer of polycomb-like, N-terminal; Ribonucleoprotein LSM domain, eukaryotic/archaea-type; Like-Sm (LSM) domain; Heat shock factor (HSF)-type, DNA-binding; RGS domain; Protein phosphatase 2C (PP2C)-like domain; Serine-threonine/tyrosine-protein kinase catalytic domain; Protein kinase domain; Protein kinase-like domain; Protein kinase domain; Prokaryotic membrane lipoprotein lipid attachment site profile.; Protein kinase-like domain; 6,7-dimethyl-8-ribityllumazine synthase"
scaffold341_1,0,,,,Pectin lyase fold/virulence factor; Polymorphic outer membrane protein repeat; Pectin lyase fold/virulence factor; Parallel beta-helix repeat; Pectin lyase fold/virulence factor; Polymorphic outer membrane protein repeat
scaffold419_1,3,ER to Golgi vesicle-mediated transport; transport; mRNA processing,cis-Golgi network; intracellular,"hydrolase activity; hydrolase activity, acting on ester bonds; T/G mismatch-specific endonuclease activity","Sybindin-like protein; Longin-like domain; Calcineurin-like phosphoesterase domain, apaH type; Lariat debranching enzyme, C-terminal; Metallo-dependent phosphatase-like; BRCT domain"
scaffold437_1,2,transport,integral to membrane,"ATPase activity; ATP binding; ATPase activity, coupled to transmembrane movement of substances","ABC transporter-like; P-loop containing nucleoside triphosphate hydrolase; Pectin lyase fold/virulence factor; Right handed beta helix region; Pectin lyase fold/virulence factor; Pectin lyase fold/virulence factor; Polymorphic outer membrane protein repeat; ABC transporter-like; ABC transporter type 1, transmembrane domain; AAA+ ATPase domain"
scaffold442_1,8,glycolysis; protein amino acid phosphorylation; ubiquitin cycle,intracellular; phosphopyruvate hydratase complex,nucleic acid binding; ATP binding; phosphopyruvate hydratase activity,"Enolase, C-terminal; Enolase, N-terminal; Enolase; Band 7 protein; G-patch domain; DEAD/DEAH box helicase domain; Helicase superfamily 1/2, ATP-binding domain; P-loop containing nucleoside triphosphate hydrolase; MHCK/EF2 kinase; von Willebrand factor type A domain; von Willebrand factor, type A; HECT; Zinc knuckle; Zinc finger, CCHC-type; Trimeric LpxA-like; DEAD/DEAH-box helicase, putative; Methyltransferase type 11; S-adenosyl-L-methionine-dependent methyltransferase"
scaffold454_1,5,cell differentiation,membrane,,Notch domain; Prokaryotic membrane lipoprotein lipid attachment site profile.; Pectin lyase fold/virulence factor; Notch domain; Pectin lyase fold/virulence factor; Notch domain; Polymorphic outer membrane protein repeat; Pectin lyase fold/virulence factor; Notch domain; Pectin lyase fold/virulence factor; Polymorphic outer membrane protein repeat; Pectin lyase fold/virulence factor; Polymorphic outer membrane protein repeat
scaffold494_1,1,isoprenoid biosynthetic process,,hydroxymethylglutaryl-CoA synthase activity,P25-alpha; Hydroxymethylglutaryl-coenzyme A synthase C-terminal domain; Thiolase-like; S-adenosyl-L-methionine-dependent methyltransferase; Domain of unknown function DUF4524
scaffold553_1,2,"oligopeptide transport; regulation of transcription, DNA-dependent; chromatin modification",nucleus; membrane,transporter activity; transcription factor activity; histone-lysine N-methyltransferase activity,"Proton-dependent oligopeptide transporter family; Homeobox protein, antennapedia type, conserved site; PTR2 family proton/oligopeptide symporter, conserved site; Prokaryotic membrane lipoprotein lipid attachment site profile.; Triose-phosphate transporter domain; Ankyrin repeat; SET domain; Pre-SET domain; Uracil-DNA glycosylase-like"
scaffold601_1,2,cellular protein metabolic process,,RNA binding; ATP binding,"Rieske [2Fe-2S] iron-sulphur domain; Mitochondrial 18kDa protein; Protein of unknown function DUF2052, coiled-coil; K Homology domain, type 1; K Homology domain; Chaperonin Cpn60/TCP-1 family; GroEL-like apical domain; Pheophorbide a oxygenase"
scaffold603_1,2,,integral to membrane,,Carbohydrate-binding WSC; Haemerythrin/HHE cation-binding motif; Voltage-dependent anion channel; Domain of unknown function DUF4395; Haemerythrin/HHE cation-binding motif; Voltage-dependent anion channel
scaffold617_1,3,rRNA processing; RNA metabolic process,small subunit processome,zinc ion binding,"WD40 repeat; Small-subunit processome, Utp13; WD40 repeat, conserved site; WD40 repeat; WD40-repeat-containing domain; FYVE zinc finger; Ysc84 actin-binding domain; Zinc finger, FYVE-related; Bestrophin/UPF0187; Up-frameshift suppressor 2; MIF4G-like, type 3; Armadillo-type fold"
scaffold1036_1,1,"pentose-phosphate shunt, non-oxidative branch",,ribose-5-phosphate isomerase activity,"Ribose 5-phosphate isomerase, type A"
scaffold1051_1,2,,myosin complex,ATP binding; motor activity; protein kinase CK2 activity,"Myosin head, motor domain; P-loop containing nucleoside triphosphate hydrolase"
scaffold1109_1,3,lysosome organization and biogenesis; sphingolipid metabolic process; biosynthetic process,lysosome; integral to membrane,"glucosylceramidase activity; pyridoxal phosphate binding; transferase activity, transferring nitrogenous groups","Glycoside hydrolase, family 30; Ricin B lectin domain; Glycoside hydrolase superfamily; Aminotransferase, class I/classII; Pyridoxal phosphate-dependent transferase; Cation/H+ exchanger"
scaffold1155_1,4,protein modification process; translation; biosynthetic process,ribosome,structural constituent of ribosome; GTP-dependent polynucleotide kinase activity; ATP-dependent polynucleotide kinase activity,"Ankyrin repeat; Ankyrin repeat-containing domain; Ankyrin repeats (many copies); Leucine rich repeat 4; Leucine-rich repeat; Ubiquitin-like; Ribosomal protein L41; Ubiquitin-related domain; MobB-type P-loop domain; Pre-mRNA cleavage complex II Clp1; Aminotransferase, class I/classII; Pyridoxal phosphate-dependent transferase"
scaffold1163_1,0,,,,Translation protein SH3-like domain; WD40 repeat; WD40-repeat-containing domain